"name","lat","long","nbBikes","nbEmptyDocks"
"20th & Bell St","38.8561","-77.0512","7","4"
"18th & Eads St.","38.85725","-77.05332","8","3"
"20th & Crystal Dr","38.8564","-77.0492","8","7"
"15th & Crystal Dr","38.86017","-77.049593","9","2"
"Aurora Hills Community Ctr/18th & Hayes St","38.857866","-77.05949","7","4"
"Pentagon City Metro / 12th & S Hayes St","38.862303","-77.059936","7","12"
"S Joyce & Army Navy Dr","38.8637","-77.0633","5","6"
"Crystal City Metro / 18th & Bell St","38.8573","-77.0511","5","13"
"12th & Army Navy Dr","38.8629","-77.0528","6","5"
"27th & Crystal Dr","38.848441","-77.051516","14","5"
"S Glebe & Potomac Ave","38.8426","-77.0502","4","7"
"23rd & Crystal Dr","38.8533","-77.0498","16","1"
"26th & S Clark St","38.850688","-77.05152","7","4"
"19th St & Pennsylvania Ave NW","38.9003","-77.0429","14","1"
"14th & V St NW","38.9176","-77.0321","7","20"
"11th & Kenyon St NW","38.929464","-77.027822","4","23"
"16th & Harvard St NW","38.926088","-77.036536","6","27"
"Adams Mill & Columbia Rd NW","38.922925","-77.042581","1","14"
"14th & Harvard St NW","38.9268","-77.0322","3","16"
"Calvert & Biltmore St NW","38.923203","-77.047637","6","17"
"Lamont & Mt Pleasant NW","38.9319","-77.0388","2","17"
"4th & M St SW","38.8767","-77.0178","1","22"
"15th & P St NW","38.90985","-77.034438","14","5"
"14th & R St NW","38.912682","-77.031681","4","11"
"14th & Rhode Island Ave NW","38.9086","-77.0323","1","22"
"20th & E St NW","38.8963","-77.045","9","6"
"21st & I St NW","38.9008","-77.047","20","15"
"Georgia & New Hampshire Ave NW","38.936043","-77.024649","3","12"
"14th St & Spring Rd NW","38.9375","-77.0328","3","8"
"John McCormack Dr & Michigan Ave NE","38.9346","-76.9955","3","8"
"5th & K St NW","38.90304","-77.019027","5","14"
"19th & East Capitol St SE","38.8896","-76.9769","9","6"
"Park Rd & Holmead Pl NW","38.9308","-77.0315","8","11"
"Good Hope & Naylor Rd SE","38.8601","-76.9672","5","6"
"Connecticut Ave & Newark St NW / Cleveland Park","38.934267","-77.057979","6","5"
"Randle Circle & Minnesota Ave SE","38.878","-76.9607","6","5"
"Minnesota Ave Metro/DOES","38.897063","-76.947446","4","7"
"Nannie Helen Burroughs & Minnesota Ave NE","38.901385","-76.941877","4","7"
"Anacostia Metro","38.862669","-76.994637","6","5"
"Good Hope Rd & MLK Ave SE","38.867373","-76.988039","9","2"
"19th & E Street NW","38.8952","-77.0436","2","9"
"4th & W St NE","38.919077","-77.000648","5","10"
"10th & U St NW","38.9172","-77.0259","7","8"
"Georgia Ave and Fairmont St NW","38.9249","-77.0222","4","6"
"1st & N St  SE","38.8743","-77.0057","9","30"
"20th St & Florida Ave NW","38.9154","-77.0446","6","8"
"7th & T St NW","38.9155","-77.0222","4","11"
"23rd & Eads St","38.853531","-77.053509","5","10"
"M St & New Jersey Ave SE","38.8763","-77.0037","9","8"
"Massachusetts Ave & Dupont Circle NW","38.9101","-77.0444","16","28"
"1st & M St NE","38.9057","-77.0056","9","6"
"21st & M St NW","38.90534","-77.046774","16","2"
"17th & K St NW","38.90276","-77.03863","18","2"
"3rd & H St NW","38.899408","-77.015289","3","12"
"3rd & D St SE","38.8851","-77.0023","7","4"
"Potomac & Pennsylvania Ave SE","38.8803","-76.9862","5","10"
"14th & D St SE","38.884","-76.9861","6","9"
"17th & Corcoran St NW","38.9121","-77.0387","8","11"
"Van Ness Metro / UDC","38.944551","-77.063896","7","7"
