number,crn,name,days,time,room,instructor,avail_max,desc,gen_ed
AMST 194-01,10068,The Obama Presidency,M W F,10:50 am-11:50 am,THEATR 002,Duchess Harris,0 / 16,"This course will ask if the election of the nation’s first Black president changed the face of African-American leadership and activism since the height of the civil rights and Black power movements. We will study African Americans in the political system from a historical context. The running themes of the course are crafted to consider the following questions: What are the historical dynamics that have shaped and continue to shape the relationship between African Americans and the American political system? Under what conditions have Blacks been able to exert influence in the political system? What exactly are Black political interests? Finally, we will analyze the strategies of electoral politics versus social activism.",U.S. Identities and Differences
AMST 194-02,10069,Introduction to Asian American Studies,M W F,01:10 pm-02:10 pm,HUM 212,Jake Nagasawa, Closed 7 / 18,Varies by semester. Consult the department or class schedule for current listing.,
AMST 209-01,10781,Civil Rights Movement, T R,01:20 pm-02:50 pm,MAIN 111,Walter Greason,4 / 26,"The course examines the post-World War II Civil Rights Movement led by African Americans in the United States.  In the class, students will analyze key people, issues, events, and debates within movement history, including, but not limited to, gender and leadership; struggles for civil rights in the south, west, and urban north; the impact of the Cold War on race relations; student activism; movement strategies; and the emergence of Black Power.  Throughout the semester, students will read a wide variety of primary and secondary texts to illuminate the activities and life stories of individual participants as well as the broad historical forces that characterized this long era of insurgency.",U.S. Identities and Differences
AMST 219-01,10782,In Motion: African Americans in the US (African Americans in Digital Technologies), T R,03:00 pm-04:30 pm,MAIN 111,Walter Greason,4 / 25,"In Motion is an introduction to modern African American History from slavery to contemporary times. In Motion emphasizes the idea that both African Americans and the stories of their lives in the United States are fluid, varied and continually being reinterpreted. Rather than a strict chronological survey, this course is organized thematically. Some of the important themes include movement/mobility/migration; work/labor; resistance to systems of oppression; gender/sexuality/culture/performance; politics/citizenship; and sites of (re)memory. While the course is geographically situated in the United States, we will also consider African American life, culture, thought and resistance in global perspectives. In this course, students will read important historical texts, both primary and secondary, engage in discussion, and write essays that ask them to critically engage the history of African Americans in the US. Cross-listed with History 219. 4 credits.",U.S. Identities and Differences
AMST 225-01,10420,Native History to 1871, T R,09:40 am-11:10 am,THEATR 203,Katrina Phillips,1 / 25,"The history of American Indians is wonderfully complex, but this history is simultaneously fraught with misconceptions and misinterpretations. European (and, later, Euro-Americans) alternated among fascination, fear, and frustration toward American Indians, while American Indians sought to maintain tribal sovereignty and control over their lands, cultures, religions, politics, and lifestyles amidst continuing encroachment and settlement. This course examines American Indian history to 1871 - the year that Congress stopped making treaties with Native nations - by considering the complicated and multifaceted history of the nation's indigenous people. By looking at American Indian interactions with Spanish, French, British, and American explorers, settlers, missionaries, militaries, and government officials, this courses argues that the history of American Indians is essential to understanding past as well as present issues. Furthermore, this course looks to move beyond the notion that American Indian history is one of inevitable decline by creating a more nuanced understanding of the American Indian experience from pre-contact toward the twentieth century.","Writing WA
                    U.S. Identities and Differences"
AMST 240-01,10271,"Race, Culture, and Ethnicity in Education", T R,01:20 pm-02:50 pm,THEATR 201,Jonathan Hamilton, Closed 0 / 25,"This survey course will explore history, policy, and pedagogy as they relate to race, ethnicity, and culture as education. K-12 public education will be the primary focus with topics including desegregation, standardized testing, multi-cultural and ethnocentric pedagogy, the teacher's role and experience, and significant historical events in education. The course will culminate by analyzing current trends and future expectations in education.",U.S. Identities and Differences
AMST 253-01,10642,James Baldwin and the Black Religious Imagination, T R,03:00 pm-04:30 pm,MAIN 009,William Hart, Closed 0 / 16,"This course explores James Baldwin's life and work as a writer and activist. Baldwin was a black queer man in an antiblack and heteronormative world. His queer imagination and spirituality are part of the same cloth. Deeply scared by the black church, Baldwin's spirituality and art were, nevertheless, profoundly shaped by the spirit and language of black church religiosity. Through a heterogenous body of writing and the life he lived, Baldwin explored the souls of black folks (including queer blackness) and the nature of American identity.",U.S. Identities and Differences
AMST 270-01,10070,Black Public Intellectuals,  W,07:00 pm-10:00 pm,HUM 400,Duchess Harris,-4 / 25,"This course will address the tradition of public intellectuals in numerous Black communities. We will expand the definition of ""politics"" to include theater, literature, and film. We will interrogate the concept of who chooses the scholarly leaders for Black communities. We will examine numerous topics such as Communism, The American Dream, Incarceration, Feminism, and Ebony Voices in the Ivory Tower.",U.S. Identities and Differences
AMST 271-01,10766,"Uses and Abuses: Drugs, Addiction and Recovery", T R,03:00 pm-04:30 pm,THEATR 203,Amy Sullivan,-1 / 20,"After a brief but essential global history of drugs, this course will focus primarily on the 20th century to the present. We will examine histories of substance use and abuse, temperance and prohibition, the ""War on Drugs,"" the shifting concept of addiction as a moral failing to addiction as a treatable disease, as well as study the history of the recovery movement and harm reduction. This course is not intended to be an exhaustive, comprehensive history of the subject-but it will provide you with a solid base from which to explore other aspects of this fascinating and contentious aspect of human history.",
AMST 294-01,10071,"Radical Reelism: Indigeneity, Politics, and Visual Culture", T R,09:40 am-11:10 am,HUM 212,Kirisitina Sailiata,2 / 16,"Join us in Fall 2021 as we explore the roots and routes of Native Cultural Studies through photography, film, television, print and media. How have Indigenous people been represented in visual culture? And what can Indigenous visual artists or film theory teach us about the past, present and future in the United States? No previous coursework required.",U.S. Identities and Differences
