holiday,date,year
New Year's Day,1-Jan-78,1978
New Year's Day,1-Jan-79,1979
New Year's Day,1-Jan-80,1980
New Year's Day,1-Jan-81,1981
New Year's Day,1-Jan-82,1982
New Year's Day,1-Jan-83,1983
New Year's Day,1-Jan-84,1984
New Year's Day,1-Jan-85,1985
New Year's Day,1-Jan-86,1986
New Year's Day,1-Jan-87,1987
New Year's Day,1-Jan-88,1988
New Year's Day,1-Jan-89,1989
New Year's Day,1-Jan-90,1990
New Year's Day,1-Jan-91,1991
New Year's Day,1-Jan-92,1992
New Year's Day,1-Jan-93,1993
New Year's Day,1-Jan-94,1994
New Year's Day,1-Jan-95,1995
New Year's Day,1-Jan-96,1996
New Year's Day,1-Jan-97,1997
New Year's Day,1-Jan-98,1998
New Year's Day,1-Jan-99,1999
New Year's Day,1-Jan-00,2000
New Year's Day,1-Jan-01,2001
New Year's Day,1-Jan-02,2002
New Year's Day,1-Jan-03,2003
New Year's Day,1-Jan-04,2004
New Year's Day,1-Jan-05,2005
New Year's Day,1-Jan-06,2006
New Year's Day,1-Jan-07,2007
New Year's Day,1-Jan-08,2008
New Year's Day,1-Jan-09,2009
New Year's Day,1-Jan-10,2010
New Year's Day,1-Jan-11,2011
New Year's Day,1-Jan-12,2012
New Year's Day,1-Jan-13,2013
New Year's Day,1-Jan-14,2014
New Year's Day,1-Jan-15,2015
New Year's Day,1-Jan-16,2016
New Year's Day,1-Jan-17,2017
New Year's Day,1-Jan-18,2018
New Year's Day,1-Jan-19,2019
New Year's Day,1-Jan-20,2020
Martin Luther King Jr. Day,19-Jan-87,1987
Martin Luther King Jr. Day,18-Jan-88,1988
Martin Luther King Jr. Day,16-Jan-89,1989
Martin Luther King Jr. Day,15-Jan-90,1990
Martin Luther King Jr. Day,21-Jan-91,1991
Martin Luther King Jr. Day,20-Jan-92,1992
Martin Luther King Jr. Day,18-Jan-93,1993
Martin Luther King Jr. Day,17-Jan-94,1994
Martin Luther King Jr. Day,16-Jan-95,1995
Martin Luther King Jr. Day,15-Jan-96,1996
Martin Luther King Jr. Day,20-Jan-97,1997
Martin Luther King Jr. Day,19-Jan-98,1998
Martin Luther King Jr. Day,18-Jan-99,1999
Martin Luther King Jr. Day,17-Jan-00,2000
Martin Luther King Jr. Day,15-Jan-01,2001
Martin Luther King Jr. Day,21-Jan-02,2002
Martin Luther King Jr. Day,20-Jan-03,2003
Martin Luther King Jr. Day,19-Jan-04,2004
Martin Luther King Jr. Day,17-Jan-05,2005
Martin Luther King Jr. Day,16-Jan-06,2006
Martin Luther King Jr. Day,15-Jan-07,2007
Martin Luther King Jr. Day,21-Jan-08,2008
Martin Luther King Jr. Day,19-Jan-09,2009
Martin Luther King Jr. Day,18-Jan-10,2010
Martin Luther King Jr. Day,17-Jan-11,2011
Martin Luther King Jr. Day,16-Jan-12,2012
Martin Luther King Jr. Day,21-Jan-13,2013
Martin Luther King Jr. Day,20-Jan-14,2014
Martin Luther King Jr. Day,19-Jan-15,2015
Martin Luther King Jr. Day,18-Jan-16,2016
Martin Luther King Jr. Day,16-Jan-17,2017
Martin Luther King Jr. Day,15-Jan-18,2018
Martin Luther King Jr. Day,21-Jan-19,2019
Martin Luther King Jr. Day,20-Jan-20,2020
President's Day,20-Feb-78,1978
President's Day,19-Feb-79,1979
President's Day,18-Feb-80,1980
President's Day,16-Feb-81,1981
President's Day,15-Feb-82,1982
President's Day,21-Feb-83,1983
President's Day,20-Feb-84,1984
President's Day,18-Feb-85,1985
President's Day,17-Feb-86,1986
President's Day,16-Feb-87,1987
President's Day,15-Feb-88,1988
President's Day,20-Feb-89,1989
President's Day,19-Feb-90,1990
President's Day,18-Feb-91,1991
President's Day,17-Feb-92,1992
President's Day,15-Feb-93,1993
President's Day,21-Feb-94,1994
President's Day,20-Feb-95,1995
President's Day,19-Feb-96,1996
President's Day,17-Feb-97,1997
President's Day,16-Feb-98,1998
President's Day,15-Feb-99,1999
President's Day,21-Feb-00,2000
President's Day,19-Feb-01,2001
President's Day,18-Feb-02,2002
President's Day,17-Feb-03,2003
President's Day,16-Feb-04,2004
President's Day,21-Feb-05,2005
President's Day,20-Feb-06,2006
President's Day,19-Feb-07,2007
President's Day,18-Feb-08,2008
President's Day,16-Feb-09,2009
President's Day,15-Feb-10,2010
President's Day,21-Feb-11,2011
President's Day,20-Feb-12,2012
President's Day,18-Feb-13,2013
President's Day,17-Feb-14,2014
President's Day,16-Feb-15,2015
President's Day,15-Feb-16,2016
President's Day,20-Feb-17,2017
President's Day,19-Feb-18,2018
President's Day,18-Feb-19,2019
President's Day,17-Feb-20,2020
Memorial Day,29-May-78,1978
