Title,Date,Catalog_No,Instrument1,Instrument2,Instrument3,Genre,Key
Violin Sonata #7 Op. 30 No. 2 iv,1803,Op30no2,Violin,Piano,NA,AccompaniedSonata,NA
Allegro for Mechanical Clock or Flute,NA,WoO33,Flute,NA,NA,CharacterPiece,C major
Andante favorio WoO57 (from Waldstein),1805,WoO57,Piano,NA,NA,SoloSonata,F major
Anglaise H61 in D major,1790,H61,Piano,NA,NA,CharacterPiece,D major
Bagatelle WoO 52 in C minor,1795,WoO52,Piano,NA,NA,Bagatelle,C minor
Bagatelle WoO 56 in C major,1803,WoO56,Piano,NA,NA,Bagatelle,C major
Bagatelle WoO59 (Fur Elise),1810,Woo59,Piano,NA,NA,Bagatelle,A minor
Bagatelles Op. 119 No. 10,1790,Op119no10,Piano,NA,NA,Bagatelle,A major
Bagatelles Op. 119 No. 11,1790,Op119no11,Piano,NA,NA,Bagatelle,Bb major
Bagatelles Op. 119 No. 2,1790,Op119no2,Piano,NA,NA,Bagatelle,C major
Bagatelles Op. 119 No. 3,1790,Op119no3,Piano,NA,NA,Bagatelle,D major
Bagatelles Op. 119 No. 4,1790,Op119no4,Piano,NA,NA,Bagatelle,A major
Bagatelles Op. 119 No. 5,1790,Op119no5,Piano,NA,NA,Bagatelle,C minor
Bagatelles Op. 119 No. 6,1790,Op119no6,Piano,NA,NA,Bagatelle,G major
Bagatelles Op. 119 No. 7,1790,Op119no7,Piano,NA,NA,Bagatelle,C major
Bagatelles Op. 119 No. 8,1790,Op119no8,Piano,NA,NA,Bagatelle,C major
Bagatelles Op. 119 No. 9,1790,Op119no9,Piano,NA,NA,Bagatelle,A minor
Bagatelles Op. 126 No. 1,1825,Op126no1,Piano,NA,NA,Bagatelle,G major
Bagatelles Op. 126 No. 2,1825,Op126no2,Piano,NA,NA,Bagatelle,G minor
Bagatelles Op. 126 No. 3,1825,Op126no3,Piano,NA,NA,Bagatelle,Eb major
Bagatelles Op. 126 No. 4,1825,Op126no4,Piano,NA,NA,Bagatelle,B minor
Bagatelles Op. 126 No. 5,1825,Op126no5,Piano,NA,NA,Bagatelle,G major
Bagatelles Op. 126 No. 6,1825,Op126no6,Piano,NA,NA,Bagatelle,Eb major
Bagatelles Op. 33 No. 1,1802,Op33no1,Piano,NA,NA,Bagatelle,Eb major
Bagatelles Op. 33 No. 2,1802,Op33no2,Piano,NA,NA,Bagatelle,C major
Bagatelles Op. 33 No. 3,1802,Op33no3,Piano,NA,NA,Bagatelle,F major
Bagatelles Op. 33 No. 4,1802,Op33no4,Piano,NA,NA,Bagatelle,A major
Bagatelles Op. 33 No. 5,1802,Op33no5,Piano,NA,NA,Bagatelle,C major
Bagatelles Op. 33 No. 6,1802,Op33no6,Piano,NA,NA,Bagatelle,D major
Bagatelles Op. 33 No. 7,1802,Op33no7,Piano,NA,NA,Bagatelle,Ab major
Diabelli Variations,1819,Op120,Piano,NA,NA,ThemeAndVariations,C major
Beethoven Sonata 1 i,1793,Op2no1,Piano,NA,NA,SoloSonata,F minor
Beethoven Sonata 1ii,1793,Op2no1,Piano,NA,NA,SoloSonata,F major
Beethoven Sonata 1 iii,1793,Op2no1,Piano,NA,NA,SoloSonata,F minor
Beethoven Sonata 1 iv,1793,Op2no1,Piano,NA,NA,SoloSonata,F minor
Piano Sonata 10 i,1799,Op14no2,Piano,NA,NA,SoloSonata,G major
Piano Sonata 10 ii,1799,Op14no2,Piano,NA,NA,SoloSonata,C major
Piano Sonata 10 iii,1799,Op14no2,Piano,NA,NA,SoloSonata,G major
Piano Sonata 11 i,1800,Op22,Piano,NA,NA,SoloSonata,Bb major
Piano Sonata 11 ii,1800,Op22,Piano,NA,NA,SoloSonata,Eb major
Piano Sonata 11 iii,1800,Op22,Piano,NA,NA,SoloSonata,Bb major
Piano Sonata 11 iv,1800,Op22,Piano,NA,NA,SoloSonata,Bb major
Beethoven Sonata 3 i,1794,Op2no3,Piano,NA,NA,SoloSonata,C major
Beethoven Sonata 3 ii,1794,Op2no3,Piano,NA,NA,SoloSonata,E major
Beethoven Sonata 3 iii,1794,Op2no3,Piano,NA,NA,SoloSonata,C major
Piano Sonata 4 ii,1797,Op7,Piano,NA,NA,SoloSonata,C major
Piano Sonata 4 iii,1797,Op7,Piano,NA,NA,SoloSonata,Eb major
Piano Sonata 4 i,1797,Op7,Piano,NA,NA,SoloSonata,Eb major
Piano Sonata 5 i,1798,Op10no1,Piano,NA,NA,SoloSonata,C minor
Piano Sonata 5 ii,1798,Op10no1,Piano,NA,NA,SoloSonata,Ab major
Piano Sonata 5 iii,1798,Op10no1,Piano,NA,NA,SoloSonata,C minor
Piano Sonata 6 i,1798,Op10no2,Piano,NA,NA,SoloSonata,F major
Piano Sonata 6 ii,1798,Op10no2,Piano,NA,NA,SoloSonata,F minor
Piano Sonata 6 iii,1798,Op10no2,Piano,NA,NA,SoloSonata,F major
Piano Sonata 7 i,1798,Op10no3,Piano,NA,NA,SoloSonata,D major
Piano Sonata 7 ii,1798,Op10no3,Piano,NA,NA,SoloSonata,D minor
Piano Sonata 7 iii,1798,Op10no3,Piano,NA,NA,SoloSonata,D major
Piano Sonata 7 iv,1798,Op10no3,Piano,NA,NA,SoloSonata,D major
Piano Sonata 8 ii,1798,Op13,Piano,NA,NA,SoloSonata,Ab major
Piano Sonata 8 iii,1798,Op13,Piano,NA,NA,SoloSonata,C minor
Piano Sonata 8 i,1798,Op13,Piano,NA,NA,SoloSonata,C minor
Piano Sonata 9 i,1798,Op14no1,Piano,NA,NA,SoloSonata,E major
Piano Sonata 9 ii,1798,Op14no1,Piano,NA,NA,SoloSonata,E minor
Piano Sonata 9 iii,1798,Op14no1,Piano,NA,NA,SoloSonata,E major
Cadenza WoO58 to Mozart D minor Concerto i,1790,WoO58,Piano,NA,NA,Cadenza,D minor
Cadenza WoO58 to Mozart D minor Concerto iii,1790,WoO58,Piano,NA,NA,Cadenza,D minor
Cello Sonata #1 in F i,1796,Op5no1,Cello,Piano,NA,AccompaniedSonata,F major
Cello Sonata #1 in F ii,1796,Op5no1,Cello,Piano,NA,AccompaniedSonata,F major
Choral Fantasy Op 80,1808,Op80,Piano,Orchestra,Satb,Concerto,C minor
Consecration of the House Op. 124,1822,Op124,Orchestra,NA,NA,Overture,C major
"Contradances for Orchestra, 1",1790,WoO14,Orchestra,NA,NA,SoloDanceOneMovement,C major
"Contradances for Orchestra, 2",1790,WoO14,Orchestra,NA,NA,SoloDanceOneMovement,Eb major
"Contradances for Orchestra, 3",1790,WoO14,Orchestra,NA,NA,SoloDanceOneMovement,C major
"Contradances for Orchestra, 3",1790,WoO14,Orchestra,NA,NA,SoloDanceOneMovement,C major
Coriolan Overture Op. 62,1807,Op62,Orchestra,NA,NA,Overture,C minor
Duo for Violin and Cello i,1790,WoO32,Violin,Cello,NA,Duet,Eb major
Duo for Violin and Cello ii,1790,WoO32,Violin,Cello,NA,Duet,Eb major
Egmont Overture Op. 84,1810,Op84,Orchestra,NA,NA,Overture,F minor
Equali #2 for 4 Trombones WoO 30 No. 2,1790,WoO30,Trombone,Trombone,Trombone,MiscWindEnsemble,Bb major
Equali #3 for 4 Trombones WoO 30 No. 3,1790,WoO30,Trombone,Trombone,Trombone,MiscWindEnsemble,D major
Equali #1 for 4 Trombones WoO 30 No. 1,1790,WoO30,Trombone,Trombone,Trombone,MiscWindEnsemble,D minor
Piano Fantasy in G minor Op. 77,1809,Op77,Piano,NA,NA,Fantasy,G minor
Fidelio Overture Op. 72,1814,Op72,Orchestra,NA,NA,Overture,E major
Flute Sonata Anh 4 i,1790,Anh4,Flute,Piano,NA,AccompaniedSonata,Bb major
Flute Sonata Anh 4 ii,1790,Anh4,Flute,Piano,NA,AccompaniedSonata,Bb major
Flute Sonata Anh 4 iii,1790,Anh4,Flute,Piano,NA,AccompaniedSonata,Eb major
