group,broad_group
Acting,Entertainment
Athletics,Entertainment
Comedy,Entertainment
Musician,Entertainment
Media,Commentators
media,Commentators
Science,Commentators
Academic,Commentators
Consultant,Commentators
Clergy,Commentators
Politician,"Politics, Business, and Government"
Political Aide,"Politics, Business, and Government"
Government,"Politics, Business, and Government"
Military,"Politics, Business, and Government"
Business,"Politics, Business, and Government"
Advocacy,"Politics, Business, and Government"
